@relation 'mydata-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-R28-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Remove-R1-2,7,10-11,14,16-17-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R10-11'

@attribute num_critic_for_reviews numeric
@attribute duration numeric
@attribute director_facebook_likes numeric
@attribute actor_3_facebook_likes numeric
@attribute actor_1_facebook_likes numeric
@attribute num_voted_users numeric
@attribute cast_total_facebook_likes numeric
@attribute facenumber_in_poster numeric
@attribute num_user_for_reviews numeric
@attribute title_year numeric
@attribute actor_2_facebook_likes numeric
@attribute imdb_score numeric
@attribute aspect_ratio numeric
@attribute movie_facebook_likes numeric
@attribute budget {'\'(-inf-20500000]\'','\'(20500000-49950000]\'','\'(49950000-inf)\''}

@data
258,150,80,201,22000,149922,22697,4,438,2008,216,6.6,2.35,0,'\'(49950000-inf)\''
703,173,0,19000,26000,995415,87697,3,1722,2012,21000,8.1,1.85,123000,'\'(49950000-inf)\''
448,136,252,1000,40000,370704,54083,4,484,2011,11000,6.7,2.35,58000,'\'(49950000-inf)\''
451,106,188,718,10000,268154,12572,1,341,2012,816,6.8,1.85,40000,'\'(49950000-inf)\''
422,164,0,773,5000,354228,9152,0,802,2014,972,7.5,2.35,65000,'\'(49950000-inf)\''
599,153,464,963,15000,451803,28489,0,1225,2012,10000,7,2.35,56000,'\'(49950000-inf)\''
343,156,0,738,891,211765,3244,0,546,2010,882,6.7,2.35,17000,'\'(49950000-inf)\''
509,186,0,773,5000,483540,9152,6,951,2013,972,7.9,2.35,83000,'\'(49950000-inf)\''
251,113,129,1000,16000,149019,24106,2,666,2007,6000,6.1,2.35,0,'\'(49950000-inf)\''
446,201,0,84,6000,316018,7123,0,2618,2005,919,7.2,2.35,0,'\'(49950000-inf)\''
315,194,0,794,29000,793059,45223,0,2528,1997,14000,7.7,2.35,26000,'\'(49950000-inf)\''
516,147,94,11000,21000,272670,64798,0,1022,2016,19000,8.2,2.35,72000,'\'(49950000-inf)\''
377,131,532,627,14000,202382,26679,0,751,2012,10000,5.9,2.35,44000,'\'(49950000-inf)\''
644,124,365,1000,3000,418214,8458,0,1290,2015,2000,7,2,150000,'\'(49950000-inf)\''
750,143,0,393,883,522030,2039,0,1498,2012,563,7.8,2.35,80000,'\'(49950000-inf)\''
300,135,0,4000,24000,411164,43388,1,1303,2004,11000,7.3,2.35,0,'\'(49950000-inf)\''
608,195,1000,3000,21000,557489,30426,3,1187,2013,4000,7.2,2.35,95000,'\'(49950000-inf)\''
451,108,13000,11000,40000,306320,79957,0,736,2010,25000,6.5,1.85,24000,'\'(49950000-inf)\''
334,104,420,560,20000,383427,21714,0,1912,2006,808,6.8,2.35,0,'\'(49950000-inf)\''
376,104,37,760,12000,235025,14863,0,265,2013,779,7.3,1.85,44000,'\'(49950000-inf)\''
366,150,0,464,894,323207,3218,0,1439,2009,581,6,2.35,0,'\'(49950000-inf)\''
378,165,0,808,974,242420,3988,2,918,2014,956,5.7,2.35,56000,'\'(49950000-inf)\''
525,130,0,11000,44000,175409,73441,4,511,2013,15000,6.4,2.35,60000,'\'(49950000-inf)\''
495,142,464,825,15000,321227,28631,0,1067,2014,10000,6.7,2.35,41000,'\'(49950000-inf)\''
469,125,364,1000,12000,264183,25550,0,665,2010,10000,6.8,2.35,30000,'\'(49950000-inf)\''
304,106,487,776,1000,101178,4482,0,283,2011,919,6.3,2.35,10000,'\'(49950000-inf)\''
436,123,258,326,16000,223393,17657,2,550,2011,368,5.6,2.35,24000,'\'(49950000-inf)\''
453,103,125,721,15000,544884,19085,3,733,2010,1000,8.3,1.85,30000,'\'(49950000-inf)\''
422,118,368,988,23000,286095,27468,0,974,2009,3000,6.6,2.35,0,'\'(49950000-inf)\''
424,140,0,14000,26000,278232,79150,0,657,2015,23000,7.2,2.35,94000,'\'(49950000-inf)\''
654,123,395,1000,17000,465019,32392,0,995,2013,11000,7,2.35,129000,'\'(49950000-inf)\''
539,149,0,20000,34000,514125,91434,7,752,2014,22000,8,2.35,82000,'\'(49950000-inf)\''
590,132,14000,928,19000,395573,21411,0,1171,2013,981,7.8,2.35,92000,'\'(49950000-inf)\''
338,114,0,140,979,106416,1766,1,205,2013,557,6.3,2.35,22000,'\'(49950000-inf)\''
490,143,1000,77,29000,362912,29770,4,753,2013,509,7.3,2.35,115000,'\'(49950000-inf)\''
306,116,179,236,15000,222403,16149,2,453,2010,567,6.6,2.35,23000,'\'(49950000-inf)\''
575,131,0,919,16000,381148,19166,0,1106,2013,968,7,1.85,83000,'\'(49950000-inf)\''
428,154,0,581,894,326180,2593,2,899,2011,829,6.3,2.35,46000,'\'(49950000-inf)\''
470,122,14000,1000,11000,333847,14959,2,2054,2008,1000,6.2,2.35,5000,'\'(49950000-inf)\''
488,93,56,838,2000,273556,5005,0,428,2012,1000,7.2,2.35,39000,'\'(49950000-inf)\''
322,122,681,105,998,53607,1327,4,432,2016,119,7.5,2.35,30000,'\'(49950000-inf)\''
421,98,475,522,1000,718837,2975,0,1043,2008,729,8.4,2.35,16000,'\'(49950000-inf)\''
162,91,420,173,268,121084,1125,2,221,2007,268,6.2,2.35,0,'\'(49950000-inf)\''
367,158,776,310,1000,283418,2144,0,1055,2009,468,5.8,2.35,13000,'\'(49950000-inf)\''
240,96,0,10000,18000,72809,48878,0,249,2009,14000,6.8,2.35,0,'\'(49950000-inf)\''
384,127,0,13000,17000,139593,47334,1,720,2015,15000,5.4,2.35,44000,'\'(49950000-inf)\''
248,110,282,103,11000,42372,21175,2,239,2016,10000,6.6,2.35,29000,'\'(49950000-inf)\''
284,150,80,82,1000,286506,1317,5,1463,2005,190,6.9,2.35,0,'\'(49950000-inf)\''
396,144,0,1000,34000,148379,49684,6,622,2016,13000,7.3,2.35,54000,'\'(49950000-inf)\''
645,152,22000,11000,23000,1676169,57802,0,4667,2008,13000,9,2.35,37000,'\'(49950000-inf)\''
408,96,0,262,1000,665575,2635,1,704,2009,848,8.3,1.85,27000,'\'(49950000-inf)\''
219,94,11,459,1000,114553,2579,2,187,2009,973,6.5,2.35,0,'\'(49950000-inf)\''
486,126,4000,4000,21000,696338,39252,3,1055,2008,12000,7.9,2.35,10000,'\'(49950000-inf)\''
682,126,17000,1000,17000,245333,36017,0,678,2011,16000,7.5,1.85,42000,'\'(49950000-inf)\''
85,106,188,582,10000,129601,15870,2,648,1999,4000,4.8,1.85,0,'\'(49950000-inf)\''
264,112,357,595,5000,117927,9131,2,501,2008,3000,5.2,2.35,0,'\'(49950000-inf)\''
418,123,452,329,10000,118992,11287,8,971,2016,336,6.9,2.35,80000,'\'(49950000-inf)\''
186,96,293,7000,87000,115099,108016,0,257,2007,11000,5.4,2.35,2000,'\'(49950000-inf)\''
585,113,218,509,10000,431620,12652,1,741,2014,854,7.9,2.35,77000,'\'(49950000-inf)\''
91,176,58,60,711,144337,1004,0,309,1995,60,6.1,1.85,0,'\'(49950000-inf)\''
250,118,208,570,23000,174578,26683,4,534,2009,2000,5.8,2.35,0,'\'(49950000-inf)\''
536,95,0,384,1000,345198,2944,1,773,2015,767,8.3,1.85,118000,'\'(49950000-inf)\''
370,106,4000,591,19000,106072,32921,0,398,2016,13000,7.8,1.85,65000,'\'(49950000-inf)\''
453,124,4000,4000,21000,522371,48638,4,723,2010,19000,7,2.35,18000,'\'(49950000-inf)\''
416,132,274,11000,26000,228554,72881,0,710,2012,17000,6.1,2.35,53000,'\'(49950000-inf)\''
401,97,171,846,11000,252257,15516,2,634,2014,2000,7,2.35,89000,'\'(49950000-inf)\''
521,130,198,884,10000,317542,14363,0,620,2014,2000,7.6,1.85,45000,'\'(49950000-inf)\''
218,128,47,982,18000,116994,20965,2,324,2013,1000,6.3,2.35,35000,'\'(49950000-inf)\''
576,136,94,2000,19000,496749,36188,1,742,2014,11000,7.8,2.35,55000,'\'(49950000-inf)\''
226,93,31,213,4000,138661,4628,2,173,2010,225,6.4,2.35,0,'\'(49950000-inf)\''
443,130,663,604,2000,128306,5046,2,497,2015,638,6.5,2.2,37000,'\'(49950000-inf)\''
384,102,38,562,756,279093,2963,0,433,2014,719,7.9,2.39,41000,'\'(49950000-inf)\''
377,101,66,833,975,272534,4451,1,345,2012,931,7.8,2.35,40000,'\'(49950000-inf)\''
188,100,0,267,15000,120798,16264,0,444,2004,726,6.6,2.35,10000,'\'(49950000-inf)\''
286,120,776,535,890,58137,3233,0,520,2016,812,5.5,2.35,67000,'\'(49950000-inf)\''
288,98,255,759,18000,485430,20453,0,492,2010,953,8.2,2.35,33000,'\'(49950000-inf)\''
280,109,84,191,648,305340,1769,0,1676,2003,284,6.4,2.35,0,'\'(49950000-inf)\''
653,121,571,3000,14000,682155,32438,3,1097,2014,14000,8.1,2.35,96000,'\'(49950000-inf)\''
712,169,22000,6000,11000,928227,31488,1,2725,2014,11000,8.6,2.35,349000,'\'(49950000-inf)\''
642,148,22000,23000,29000,1468200,81115,0,2803,2010,27000,8.8,2.35,175000,'\'(49950000-inf)\''
645,182,0,773,5000,637246,9152,0,1367,2012,972,7.9,2.35,166000,'\'(49950000-inf)\''
187,106,357,4000,23000,272223,45327,2,988,2001,14000,6.7,2.35,14000,'\'(20500000-49950000]\''
362,166,21000,919,11000,459346,13333,2,822,2008,1000,7.8,2.35,23000,'\'(49950000-inf)\''
500,132,905,1000,34000,518537,50983,3,698,2011,13000,7.8,2.35,54000,'\'(49950000-inf)\''
389,137,508,14000,34000,166137,81385,1,383,2015,22000,6.6,2.35,38000,'\'(49950000-inf)\''
235,109,226,370,12000,124185,13388,0,238,2010,418,6.1,2.35,11000,'\'(49950000-inf)\''
231,98,249,702,87000,82380,92456,0,629,2006,2000,5.6,2.35,0,'\'(49950000-inf)\''
218,113,33,11000,40000,21352,80806,1,131,2016,25000,6.4,1.85,30000,'\'(49950000-inf)\''
227,93,50,692,3000,211971,4705,2,326,2007,795,6.1,1.85,0,'\'(49950000-inf)\''
275,123,0,648,3000,111609,5505,0,781,2016,716,7.3,2.35,89000,'\'(49950000-inf)\''
474,126,230,2000,24000,188457,38873,2,867,2015,10000,6.6,2.35,82000,'\'(49950000-inf)\''
228,113,150,59,531,106446,764,4,227,2010,82,6.3,1.78,11000,'\'(49950000-inf)\''
191,184,0,691,3000,254111,5401,0,1999,2001,961,6.1,2.35,0,'\'(49950000-inf)\''
396,144,0,581,662,513158,2333,0,1782,2007,599,7.1,2.35,8000,'\'(49950000-inf)\''
248,206,0,591,12000,138863,24598,3,1390,2004,11000,5.5,2.35,0,'\'(49950000-inf)\''
329,138,282,687,21000,355137,33433,3,1108,2007,11000,7.5,2.35,0,'\'(49950000-inf)\''
295,157,179,10000,21000,385670,53413,1,1896,2005,11000,7.6,2.35,0,'\'(49950000-inf)\''
318,102,532,979,10000,343648,21584,0,590,2008,9000,6.4,2.35,0,'\'(49950000-inf)\''
323,104,508,558,10000,530870,13076,0,1413,2007,1000,7.2,2.35,11000,'\'(49950000-inf)\''
276,115,13000,588,40000,320284,57844,3,1361,2005,16000,6.7,1.85,0,'\'(49950000-inf)\''
318,111,663,954,1000,473887,4764,0,626,2007,1000,8,2.35,10000,'\'(49950000-inf)\''
478,128,22000,11000,23000,980946,59558,0,2685,2005,14000,8.3,2.35,15000,'\'(49950000-inf)\''
167,89,35,436,1000,146019,3285,0,119,2008,851,6.7,1.85,0,'\'(49950000-inf)\''
185,105,189,1000,49000,130272,54039,2,209,2009,3000,5.9,2.35,2000,'\'(49950000-inf)\''
350,119,151,2000,20000,361924,40054,0,641,2009,16000,6.7,2.35,0,'\'(49950000-inf)\''
245,129,0,233,309,364948,1062,0,2121,2003,269,6.7,2.35,0,'\'(49950000-inf)\''
406,102,69,490,1000,421658,2582,0,904,2013,523,7.6,2.24,58000,'\'(49950000-inf)\''
275,138,0,30,234,421818,534,0,2789,2003,198,7.2,2.35,0,'\'(49950000-inf)\''
486,112,230,12000,26000,414070,59803,3,532,2013,20000,7.1,2.35,63000,'\'(49950000-inf)\''
739,120,750,943,27000,552503,40025,0,1588,2015,9000,8.1,2.35,191000,'\'(49950000-inf)\''
298,146,2000,294,15000,207839,16948,2,435,2009,745,6.7,2.35,0,'\'(49950000-inf)\''
516,115,0,12000,26000,536314,60059,1,738,2011,20000,7,2.35,63000,'\'(49950000-inf)\''
225,96,59,699,17000,146766,20007,0,178,2008,759,6.9,1.85,0,'\'(49950000-inf)\''
145,88,12,182,730,33042,2217,0,90,2009,607,5.1,2.35,0,'\'(49950000-inf)\''
310,99,473,502,14000,152826,16184,0,253,2012,897,5.8,1.85,19000,'\'(49950000-inf)\''
526,113,13000,16000,40000,199039,80849,7,479,2012,17000,6.2,1.85,82000,'\'(49950000-inf)\''
465,131,188,641,10000,232187,21840,0,440,2015,10000,7.4,2.35,47000,'\'(49950000-inf)\''
357,119,394,162,12000,89442,13071,0,432,2010,490,5.8,1.85,0,'\'(49950000-inf)\''
248,110,282,103,11000,42372,21175,2,239,2016,10000,6.6,2.35,29000,'\'(49950000-inf)\''
194,91,58,826,2000,105902,6576,0,206,2007,852,6.2,1.85,0,'\'(49950000-inf)\''
284,90,90,15,11000,182718,21015,0,209,2011,10000,7.3,2.35,20000,'\'(49950000-inf)\''
280,103,0,346,1000,118951,2857,0,1382,2010,756,4.2,2.35,18000,'\'(49950000-inf)\''
310,124,14000,979,22000,256695,34817,0,871,2006,10000,6.9,2.35,0,'\'(49950000-inf)\''
339,131,776,256,17000,164238,18204,2,434,2013,551,6.4,2.35,33000,'\'(49950000-inf)\''
132,88,25,433,921,17590,2652,0,112,2011,562,5.4,2.35,0,'\'(49950000-inf)\''
135,85,42,586,20000,85086,35161,0,122,2006,14000,6.7,1.85,0,'\'(49950000-inf)\''
256,111,456,394,20000,39956,21393,4,186,2015,548,5.8,2.35,24000,'\'(49950000-inf)\''
196,92,50,517,3000,47900,5810,2,130,2014,1000,6.9,1.85,11000,'\'(49950000-inf)\''
220,196,249,844,11000,381672,17944,2,1694,2004,5000,7.2,2.35,0,'\'(49950000-inf)\''
211,93,35,436,851,119213,2444,0,154,2012,770,6.9,1.85,17000,'\'(49950000-inf)\''
264,133,93,746,769,169914,2538,0,1185,2002,766,6.1,2.35,0,'\'(49950000-inf)\''
464,116,176,322,783,69757,2097,4,1211,2016,370,5.5,2.35,62000,'\'(49950000-inf)\''
167,153,0,537,13000,322395,26029,0,1171,1998,12000,6.6,2.35,11000,'\'(49950000-inf)\''
208,88,188,826,10000,270207,14823,2,606,2002,3000,6.1,1.85,2000,'\'(49950000-inf)\''
287,115,0,964,18000,142440,31523,1,505,2007,12000,6.3,2.35,3000,'\'(49950000-inf)\''
210,95,5,967,24000,64322,36095,0,145,2016,11000,7.2,2.35,24000,'\'(49950000-inf)\''
432,133,663,690,10000,365104,21768,3,512,2011,10000,7.4,2.35,35000,'\'(49950000-inf)\''
256,97,52,161,20000,123553,20645,0,174,2012,315,7.3,1.85,25000,'\'(49950000-inf)\''
135,90,23,233,957,110788,1997,1,258,2005,550,6.1,2.35,2000,'\'(49950000-inf)\''
190,154,380,445,10000,317166,11945,1,928,2003,956,7.7,2.35,0,'\'(49950000-inf)\''
314,150,0,748,23000,128682,26490,0,657,2014,893,6.1,2.35,51000,'\'(49950000-inf)\''
518,127,14000,981,26000,504419,39284,0,1559,2009,12000,8,2.35,19000,'\'(49950000-inf)\''
291,121,0,4000,24000,544665,40484,0,2012,2002,11000,7.3,1.85,5000,'\'(49950000-inf)\''
292,102,255,953,18000,221128,23378,5,343,2014,3000,7.9,2.35,46000,'\'(49950000-inf)\''
184,126,295,284,18000,51892,19769,4,273,2016,934,5.5,2.35,24000,'\'(49950000-inf)\''
145,121,357,653,820,45455,2705,0,388,2005,780,5,2.35,0,'\'(49950000-inf)\''
451,215,0,413,986,392474,2530,1,1229,2009,745,7.7,2.35,18000,'\'(49950000-inf)\''
141,127,503,91,5000,127497,6171,2,287,1998,808,6.6,2.35,0,'\'(49950000-inf)\''
267,138,0,258,820,212106,1814,0,1445,2003,300,5.7,1.85,0,'\'(49950000-inf)\''
351,122,209,934,17000,146352,31958,6,288,2013,12000,5.8,2.35,42000,'\'(49950000-inf)\''
163,124,42,848,11000,77673,13073,3,463,2005,973,6,2.35,0,'\'(49950000-inf)\''
166,106,6,422,12000,72259,15015,1,788,2001,2000,6.4,1.85,0,'\'(49950000-inf)\''
510,124,394,2000,11000,508818,19761,0,679,2011,3000,6.9,2.35,46000,'\'(49950000-inf)\''
197,128,150,244,766,157519,2037,2,683,1999,536,6.4,2.35,2000,'\'(49950000-inf)\''
244,138,608,168,613,168207,1205,1,684,2003,172,7.4,2.35,0,'\'(49950000-inf)\''
322,115,386,12000,21000,185394,59177,3,329,2012,17000,5.5,2.35,65000,'\'(49950000-inf)\''
156,100,750,988,49000,32399,62644,0,79,2011,11000,5.9,2.35,0,'\'(49950000-inf)\''
354,135,255,882,3000,326286,5811,0,643,2008,1000,6.8,2.35,0,'\'(49950000-inf)\''
252,117,14000,358,535,12572,1950,0,106,2016,400,6.8,2.35,27000,'\'(49950000-inf)\''
556,156,0,733,29000,406020,57108,0,1188,2015,27000,8.1,2.35,190000,'\'(49950000-inf)\''
166,96,13,463,16000,62424,17416,0,90,2013,881,6.5,2.35,13000,'\'(49950000-inf)\''
362,107,563,939,40000,183208,43291,0,337,2011,1000,7.2,2.35,26000,'\'(49950000-inf)\''
153,92,35,179,19000,60230,19963,0,118,2014,411,6.7,1.85,11000,'\'(49950000-inf)\''
329,115,521,883,13000,491077,17369,0,820,2007,897,8.1,2.35,0,'\'(49950000-inf)\''
266,92,54,562,11000,307029,12754,0,360,2008,967,7.6,2.35,6000,'\'(49950000-inf)\''
517,117,235,680,2000,313866,5730,6,549,2015,2000,7.4,1.85,61000,'\'(49950000-inf)\''
502,146,508,523,34000,498397,49355,1,706,2013,14000,7.6,2.35,82000,'\'(49950000-inf)\''
322,115,386,12000,21000,185394,59177,3,329,2012,17000,5.5,2.35,65000,'\'(49950000-inf)\''
165,94,12,183,17000,70121,17883,0,214,2015,523,6.7,1.85,26000,'\'(49950000-inf)\''
401,116,14000,807,10000,334345,12758,0,2741,2005,1000,6.5,1.85,0,'\'(49950000-inf)\''
94,147,0,877,10000,178126,12954,1,511,2003,898,6.6,2.35,0,'\'(49950000-inf)\''
246,90,50,397,4000,114287,5046,0,137,2011,442,6.7,2.35,16000,'\'(49950000-inf)\''
330,101,176,282,11000,245621,12406,1,514,2010,702,6.4,2.35,23000,'\'(49950000-inf)\''
434,138,0,8000,12000,200022,32355,2,1240,2014,9000,5.8,1.85,71000,'\'(49950000-inf)\''
440,107,14000,845,2000,177383,4631,1,447,2011,871,7.4,2.35,44000,'\'(49950000-inf)\''
274,142,0,10000,11000,382255,33284,3,1504,2004,10000,7.8,2.35,11000,'\'(49950000-inf)\''
245,165,1000,165,309,102338,921,0,450,2008,284,6.6,2.35,0,'\'(49950000-inf)\''
349,100,0,894,10000,158720,14168,0,744,2013,943,4.9,2.35,37000,'\'(49950000-inf)\''
145,82,0,388,1000,38438,2945,1,241,2000,558,6.5,1.85,0,'\'(49950000-inf)\''
154,98,189,1000,49000,67223,53587,7,126,2014,3000,6.2,1.85,11000,'\'(49950000-inf)\''
233,95,96,8000,24000,172754,46120,3,187,2010,11000,7.3,2.35,13000,'\'(49950000-inf)\''
258,159,0,645,11000,444683,13191,4,1571,2001,687,7.5,2.35,16000,'\'(49950000-inf)\''
208,96,124,1000,16000,91640,31549,2,210,2013,12000,5.6,2.35,20000,'\'(49950000-inf)\''
271,143,563,1000,40000,809474,48184,3,2113,2003,5000,8.1,2.35,10000,'\'(49950000-inf)\''
403,123,508,14000,34000,305008,81385,1,591,2014,22000,6.7,2.35,52000,'\'(49950000-inf)\''
294,174,2000,362,15000,314253,16008,2,1966,2006,574,6.6,2.35,0,'\'(49950000-inf)\''
159,101,107,56,688,58498,1031,0,99,2014,237,6.4,2.35,0,'\'(49950000-inf)\''
289,134,0,346,20000,405973,20952,4,1055,2003,505,7.5,2.35,0,'\'(49950000-inf)\''
342,132,681,12000,23000,284792,55345,3,366,2011,14000,7.3,2.35,54000,'\'(49950000-inf)\''
382,129,0,154,21000,338635,22403,2,412,2011,979,7.5,2.35,39000,'\'(49950000-inf)\''
344,106,255,850,14000,229679,18003,0,637,2010,1000,5.8,2.35,15000,'\'(49950000-inf)\''
196,113,719,217,605,240241,1441,0,391,1990,308,7.5,1.85,0,'\'(49950000-inf)\''
85,102,323,241,845,101411,1815,1,546,1999,372,6.6,2.35,0,'\'(49950000-inf)\''
436,135,209,602,10000,229823,12175,0,504,2012,826,6.7,2.35,31000,'\'(49950000-inf)\''
183,125,541,409,920,189855,2699,3,1018,1997,890,3.7,1.85,0,'\'(49950000-inf)\''
175,110,2000,636,1000,141414,4146,0,482,2000,722,6,1.85,0,'\'(49950000-inf)\''
239,124,776,812,15000,333248,20553,0,1159,2004,2000,6.4,2.35,19000,'\'(49950000-inf)\''
237,123,610,653,10000,242188,11930,0,1426,2000,794,6.1,2.35,0,'\'(49950000-inf)\''
231,130,249,461,784,133076,2684,0,779,2000,638,6.4,2.35,0,'\'(49950000-inf)\''
262,92,167,702,11000,213275,15302,3,436,2007,2000,5.6,2.35,0,'\'(49950000-inf)\''
552,127,0,341,774,440084,2121,0,755,2012,358,8,1.85,122000,'\'(49950000-inf)\''
276,123,160,402,12000,182661,14017,1,681,2007,701,5.2,2.35,0,'\'(49950000-inf)\''
267,123,521,265,13000,40123,13752,0,297,2016,365,7.1,2.35,31000,'\'(49950000-inf)\''
102,107,368,1000,2000,100821,4046,0,554,2003,1000,4.8,2.35,0,'\'(49950000-inf)\''
775,124,0,641,13000,456260,24098,0,2326,2012,9000,7,2.35,97000,'\'(49950000-inf)\''
71,77,50,537,886,36471,2682,0,69,2002,799,5.4,1.85,459,'\'(49950000-inf)\''
476,109,662,1000,13000,338087,17689,0,814,2013,2000,6.6,2.35,61000,'\'(49950000-inf)\''
207,134,123,567,14000,183909,17159,0,666,2004,850,6.7,2.35,0,'\'(49950000-inf)\''
492,117,294,1000,10000,182899,14161,0,630,2014,2000,6.2,2.35,60000,'\'(49950000-inf)\''
284,135,0,87,690,57873,902,0,414,2008,107,6.1,2.35,0,'\'(49950000-inf)\''
168,121,274,157,273,35066,993,4,196,2010,216,5.3,1.85,0,'\'(49950000-inf)\''
283,117,446,877,10000,148280,12731,0,348,2010,973,6.3,2.35,11000,'\'(49950000-inf)\''
539,124,364,1000,11000,387436,22004,0,892,2013,10000,7,2.35,71000,'\'(49950000-inf)\''
359,140,0,4000,20000,520104,44042,4,3286,2005,16000,7.6,2.35,10000,'\'(49950000-inf)\''
284,142,0,4000,20000,464310,42990,3,3516,2002,16000,6.7,1.78,0,'\'(49950000-inf)\''
250,92,0,773,12000,585659,15013,0,593,2001,1000,8.1,1.85,0,'\'(49950000-inf)\''
440,138,446,929,20000,328067,23755,1,533,2013,992,6.7,2.35,68000,'\'(49950000-inf)\''
320,136,0,1000,20000,534658,37723,1,3597,1999,14000,6.5,2.35,13000,'\'(49950000-inf)\''
257,98,16,12000,16000,150618,43286,3,195,2013,15000,7.3,2.35,28000,'\'(49950000-inf)\''
152,153,610,617,12000,55994,15046,0,454,2002,836,6,2.35,0,'\'(49950000-inf)\''
231,120,19,9000,26000,37750,46719,2,134,2016,11000,6.1,2.35,16000,'\'(49950000-inf)\''
348,101,473,429,833,167085,2690,0,491,2014,809,5.9,2.35,62000,'\'(49950000-inf)\''
738,91,0,13,39,582917,87,0,1885,2013,23,7.8,2.35,147000,'\'(49950000-inf)\''
93,108,79,268,650,62271,1569,1,277,1997,293,5.8,2.35,0,'\'(49950000-inf)\''
181,112,13,799,5000,17533,8306,3,115,2016,833,6.3,2.35,12000,'\'(49950000-inf)\''
369,100,128,78,596,110486,1261,2,695,2015,360,4.3,2.35,41000,'\'(49950000-inf)\''
179,108,189,1000,49000,234480,55486,0,444,2006,3000,6.4,1.85,3000,'\'(49950000-inf)\''
358,114,62,884,12000,147497,16718,3,499,2015,2000,6.1,2.35,52000,'\'(49950000-inf)\''
160,119,55,387,811,149680,2958,1,328,1997,766,6.5,2.35,0,'\'(49950000-inf)\''
192,142,776,1000,13000,207613,19454,0,1144,2000,2000,7.1,2.35,4000,'\'(49950000-inf)\''
198,125,0,350,11000,284852,19359,2,627,2004,8000,6.4,2.35,0,'\'(49950000-inf)\''
233,126,218,322,11000,348861,22722,0,798,2005,11000,6.5,2.35,0,'\'(49950000-inf)\''
263,119,124,1000,14000,154621,22622,0,258,2015,5000,6.3,2.35,27000,'\'(49950000-inf)\''
267,170,17000,827,29000,264318,34582,1,799,2004,3000,7.5,2.35,0,'\'(49950000-inf)\''
184,85,11,116,480,53160,1173,0,121,2010,392,4.9,2.35,0,'\'(49950000-inf)\''
447,119,1000,741,11000,136019,13391,0,443,2011,1000,5.8,2.35,14000,'\'(49950000-inf)\''
366,102,263,1000,6000,225273,10583,3,523,2014,1000,6.2,2.35,71000,'\'(49950000-inf)\''
172,103,67,111,383,66593,692,0,153,2011,113,5.5,1.78,31000,'\'(49950000-inf)\''
104,76,6,421,12000,13581,13607,3,88,2004,513,5.4,1.78,304,'\'(49950000-inf)\''
