@relation 'mydata-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R28-weka.filters.unsupervised.attribute.Remove-R1-2,7,10-11,14-17-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9'

@attribute num_critic_for_reviews numeric
@attribute duration numeric
@attribute director_facebook_likes numeric
@attribute actor_3_facebook_likes numeric
@attribute actor_1_facebook_likes numeric
@attribute num_voted_users numeric
@attribute cast_total_facebook_likes numeric
@attribute num_user_for_reviews numeric
@attribute budget numeric
@attribute title_year numeric
@attribute actor_2_facebook_likes numeric
@attribute imdb_score numeric
@attribute aspect_ratio numeric
@attribute movie_facebook_likes numeric
@attribute gross {'\'(-inf-141489591.767]\'','\'(141489591.767-380253004.5]\'','\'(380253004.5-inf)\''}

@data
495,142,464,825,15000,321227,28631,1067,200000000,2014,10000,6.7,2.35,41000,'\'(-inf-141489591.767]\''
469,125,364,1000,12000,264183,25550,665,170000000,2010,10000,6.8,2.35,30000,'\'(-inf-141489591.767]\''
304,106,487,776,1000,101178,4482,283,200000000,2011,919,6.3,2.35,10000,'\'(-inf-141489591.767]\''
436,123,258,326,16000,223393,17657,550,200000000,2011,368,5.6,2.35,24000,'\'(-inf-141489591.767]\''
453,103,125,721,15000,544884,19085,733,200000000,2010,1000,8.3,1.85,30000,'\'(141489591.767-380253004.5]\''
422,118,368,988,23000,286095,27468,974,200000000,2009,3000,6.6,2.35,0,'\'(-inf-141489591.767]\''
424,140,0,14000,26000,278232,79150,657,190000000,2015,23000,7.2,2.35,94000,'\'(141489591.767-380253004.5]\''
654,123,395,1000,17000,465019,32392,995,190000000,2013,11000,7,2.35,129000,'\'(-inf-141489591.767]\''
539,149,0,20000,34000,514125,91434,752,200000000,2014,22000,8,2.35,82000,'\'(-inf-141489591.767]\''
590,132,14000,928,19000,395573,21411,1171,190000000,2013,981,7.8,2.35,92000,'\'(-inf-141489591.767]\''
338,114,0,140,979,106416,1766,205,195000000,2013,557,6.3,2.35,22000,'\'(-inf-141489591.767]\''
490,143,1000,77,29000,362912,29770,753,105000000,2013,509,7.3,2.35,115000,'\'(-inf-141489591.767]\''
306,116,179,236,15000,222403,16149,453,200000000,2010,567,6.6,2.35,23000,'\'(-inf-141489591.767]\''
575,131,0,919,16000,381148,19166,1106,190000000,2013,968,7,1.85,83000,'\'(-inf-141489591.767]\''
428,154,0,581,894,326180,2593,899,195000000,2011,829,6.3,2.35,46000,'\'(141489591.767-380253004.5]\''
470,122,14000,1000,11000,333847,14959,2054,185000000,2008,1000,6.2,2.35,5000,'\'(141489591.767-380253004.5]\''
488,93,56,838,2000,273556,5005,428,185000000,2012,1000,7.2,2.35,39000,'\'(-inf-141489591.767]\''
322,122,681,105,998,53607,1327,432,185000000,2016,119,7.5,2.35,30000,'\'(-inf-141489591.767]\''
421,98,475,522,1000,718837,2975,1043,180000000,2008,729,8.4,2.35,16000,'\'(-inf-141489591.767]\''
162,91,420,173,268,121084,1125,221,140000000,2007,268,6.2,2.35,0,'\'(-inf-141489591.767]\''
367,158,776,310,1000,283418,2144,1055,200000000,2009,468,5.8,2.35,13000,'\'(-inf-141489591.767]\''
240,96,0,10000,18000,72809,48878,249,200000000,2009,14000,6.8,2.35,0,'\'(-inf-141489591.767]\''
384,127,0,13000,17000,139593,47334,720,176000000,2015,15000,5.4,2.35,44000,'\'(-inf-141489591.767]\''
248,110,282,103,11000,42372,21175,239,180000000,2016,10000,6.6,2.35,29000,'\'(-inf-141489591.767]\''
284,150,80,82,1000,286506,1317,1463,180000000,2005,190,6.9,2.35,0,'\'(141489591.767-380253004.5]\''
396,144,0,1000,34000,148379,49684,622,178000000,2016,13000,7.3,2.35,54000,'\'(-inf-141489591.767]\''
645,152,22000,11000,23000,1676169,57802,4667,185000000,2008,13000,9,2.35,37000,'\'(380253004.5-inf)\''
408,96,0,262,1000,665575,2635,704,175000000,2009,848,8.3,1.85,27000,'\'(141489591.767-380253004.5]\''
219,94,11,459,1000,114553,2579,187,175000000,2009,973,6.5,2.35,0,'\'(-inf-141489591.767]\''
486,126,4000,4000,21000,696338,39252,1055,140000000,2008,12000,7.9,2.35,10000,'\'(141489591.767-380253004.5]\''
682,126,17000,1000,17000,245333,36017,678,170000000,2011,16000,7.5,1.85,42000,'\'(-inf-141489591.767]\''
85,106,188,582,10000,129601,15870,648,170000000,1999,4000,4.8,1.85,0,'\'(-inf-141489591.767]\''
264,112,357,595,5000,117927,9131,501,145000000,2008,3000,5.2,2.35,0,'\'(-inf-141489591.767]\''
418,123,452,329,10000,118992,11287,971,175000000,2016,336,6.9,2.35,80000,'\'(-inf-141489591.767]\''
186,96,293,7000,87000,115099,108016,257,175000000,2007,11000,5.4,2.35,2000,'\'(-inf-141489591.767]\''
585,113,218,509,10000,431620,12652,741,178000000,2014,854,7.9,2.35,77000,'\'(-inf-141489591.767]\''
91,176,58,60,711,144337,1004,309,175000000,1995,60,6.1,1.85,0,'\'(-inf-141489591.767]\''
250,118,208,570,23000,174578,26683,534,175000000,2009,2000,5.8,2.35,0,'\'(-inf-141489591.767]\''
536,95,0,384,1000,345198,2944,773,175000000,2015,767,8.3,1.85,118000,'\'(141489591.767-380253004.5]\''
370,106,4000,591,19000,106072,32921,398,175000000,2016,13000,7.8,1.85,65000,'\'(141489591.767-380253004.5]\''
453,124,4000,4000,21000,522371,48638,723,200000000,2010,19000,7,2.35,18000,'\'(141489591.767-380253004.5]\''
416,132,274,11000,26000,228554,72881,710,170000000,2012,17000,6.1,2.35,53000,'\'(-inf-141489591.767]\''
401,97,171,846,11000,252257,15516,634,180000000,2014,2000,7,2.35,89000,'\'(-inf-141489591.767]\''
521,130,198,884,10000,317542,14363,620,170000000,2014,2000,7.6,1.85,45000,'\'(-inf-141489591.767]\''
218,128,47,982,18000,116994,20965,324,175000000,2013,1000,6.3,2.35,35000,'\'(-inf-141489591.767]\''
576,136,94,2000,19000,496749,36188,742,170000000,2014,11000,7.8,2.35,55000,'\'(141489591.767-380253004.5]\''
226,93,31,213,4000,138661,4628,173,165000000,2010,225,6.4,2.35,0,'\'(-inf-141489591.767]\''
443,130,663,604,2000,128306,5046,497,190000000,2015,638,6.5,2.2,37000,'\'(-inf-141489591.767]\''
384,102,38,562,756,279093,2963,433,165000000,2014,719,7.9,2.39,41000,'\'(-inf-141489591.767]\''
377,101,66,833,975,272534,4451,345,165000000,2012,931,7.8,2.35,40000,'\'(-inf-141489591.767]\''
188,100,0,267,15000,120798,16264,444,165000000,2004,726,6.6,2.35,10000,'\'(-inf-141489591.767]\''
286,120,776,535,890,58137,3233,520,165000000,2016,812,5.5,2.35,67000,'\'(-inf-141489591.767]\''
288,98,255,759,18000,485430,20453,492,165000000,2010,953,8.2,2.35,33000,'\'(-inf-141489591.767]\''
280,109,84,191,648,305340,1769,1676,200000000,2003,284,6.4,2.35,0,'\'(-inf-141489591.767]\''
653,121,571,3000,14000,682155,32438,1097,170000000,2014,14000,8.1,2.35,96000,'\'(141489591.767-380253004.5]\''
712,169,22000,6000,11000,928227,31488,2725,165000000,2014,11000,8.6,2.35,349000,'\'(-inf-141489591.767]\''
642,148,22000,23000,29000,1468200,81115,2803,160000000,2010,27000,8.8,2.35,175000,'\'(141489591.767-380253004.5]\''
645,182,0,773,5000,637246,9152,1367,180000000,2012,972,7.9,2.35,166000,'\'(141489591.767-380253004.5]\''
187,106,357,4000,23000,272223,45327,988,38000000,2001,14000,6.7,2.35,14000,'\'(-inf-141489591.767]\''
362,166,21000,919,11000,459346,13333,822,150000000,2008,1000,7.8,2.35,23000,'\'(-inf-141489591.767]\''
500,132,905,1000,34000,518537,50983,698,160000000,2011,13000,7.8,2.35,54000,'\'(-inf-141489591.767]\''
389,137,508,14000,34000,166137,81385,383,160000000,2015,22000,6.6,2.35,38000,'\'(141489591.767-380253004.5]\''
235,109,226,370,12000,124185,13388,238,150000000,2010,418,6.1,2.35,11000,'\'(-inf-141489591.767]\''
231,98,249,702,87000,82380,92456,629,160000000,2006,2000,5.6,2.35,0,'\'(-inf-141489591.767]\''
218,113,33,11000,40000,21352,80806,131,170000000,2016,25000,6.4,1.85,30000,'\'(-inf-141489591.767]\''
227,93,50,692,3000,211971,4705,326,160000000,2007,795,6.1,1.85,0,'\'(141489591.767-380253004.5]\''
275,123,0,648,3000,111609,5505,781,160000000,2016,716,7.3,2.35,89000,'\'(-inf-141489591.767]\''
474,126,230,2000,24000,188457,38873,867,155000000,2015,10000,6.6,2.35,82000,'\'(-inf-141489591.767]\''
228,113,150,59,531,106446,764,227,155000000,2010,82,6.3,1.78,11000,'\'(-inf-141489591.767]\''
191,184,0,691,3000,254111,5401,1999,140000000,2001,961,6.1,2.35,0,'\'(-inf-141489591.767]\''
396,144,0,581,662,513158,2333,1782,150000000,2007,599,7.1,2.35,8000,'\'(141489591.767-380253004.5]\''
248,206,0,591,12000,138863,24598,1390,155000000,2004,11000,5.5,2.35,0,'\'(-inf-141489591.767]\''
329,138,282,687,21000,355137,33433,1108,150000000,2007,11000,7.5,2.35,0,'\'(141489591.767-380253004.5]\''
295,157,179,10000,21000,385670,53413,1896,150000000,2005,11000,7.6,2.35,0,'\'(141489591.767-380253004.5]\''
318,102,532,979,10000,343648,21584,590,150000000,2008,9000,6.4,2.35,0,'\'(-inf-141489591.767]\''
323,104,508,558,10000,530870,13076,1413,150000000,2007,1000,7.2,2.35,11000,'\'(141489591.767-380253004.5]\''
276,115,13000,588,40000,320284,57844,1361,150000000,2005,16000,6.7,1.85,0,'\'(-inf-141489591.767]\''
318,111,663,954,1000,473887,4764,626,150000000,2007,1000,8,2.35,10000,'\'(-inf-141489591.767]\''
478,128,22000,11000,23000,980946,59558,2685,150000000,2005,14000,8.3,2.35,15000,'\'(-inf-141489591.767]\''
167,89,35,436,1000,146019,3285,119,150000000,2008,851,6.7,1.85,0,'\'(-inf-141489591.767]\''
185,105,189,1000,49000,130272,54039,209,150000000,2009,3000,5.9,2.35,2000,'\'(-inf-141489591.767]\''
350,119,151,2000,20000,361924,40054,641,150000000,2009,16000,6.7,2.35,0,'\'(-inf-141489591.767]\''
245,129,0,233,309,364948,1062,2121,150000000,2003,269,6.7,2.35,0,'\'(-inf-141489591.767]\''
406,102,69,490,1000,421658,2582,904,150000000,2013,523,7.6,2.24,58000,'\'(141489591.767-380253004.5]\''
275,138,0,30,234,421818,534,2789,150000000,2003,198,7.2,2.35,0,'\'(141489591.767-380253004.5]\''
486,112,230,12000,26000,414070,59803,532,170000000,2013,20000,7.1,2.35,63000,'\'(-inf-141489591.767]\''
739,120,750,943,27000,552503,40025,1588,150000000,2015,9000,8.1,2.35,191000,'\'(-inf-141489591.767]\''
298,146,2000,294,15000,207839,16948,435,150000000,2009,745,6.7,2.35,0,'\'(-inf-141489591.767]\''
516,115,0,12000,26000,536314,60059,738,150000000,2011,20000,7,2.35,63000,'\'(-inf-141489591.767]\''
225,96,59,699,17000,146766,20007,178,150000000,2008,759,6.9,1.85,0,'\'(-inf-141489591.767]\''
145,88,12,182,730,33042,2217,90,150000000,2009,607,5.1,2.35,0,'\'(-inf-141489591.767]\''
310,99,473,502,14000,152826,16184,253,150000000,2012,897,5.8,1.85,19000,'\'(-inf-141489591.767]\''
526,113,13000,16000,40000,199039,80849,479,100000000,2012,17000,6.2,1.85,82000,'\'(-inf-141489591.767]\''
465,131,188,641,10000,232187,21840,440,150000000,2015,10000,7.4,2.35,47000,'\'(-inf-141489591.767]\''
357,119,394,162,12000,89442,13071,432,150000000,2010,490,5.8,1.85,0,'\'(-inf-141489591.767]\''
248,110,282,103,11000,42372,21175,239,180000000,2016,10000,6.6,2.35,29000,'\'(-inf-141489591.767]\''
194,91,58,826,2000,105902,6576,206,150000000,2007,852,6.2,1.85,0,'\'(-inf-141489591.767]\''
284,90,90,15,11000,182718,21015,209,150000000,2011,10000,7.3,2.35,20000,'\'(-inf-141489591.767]\''
280,103,0,346,1000,118951,2857,1382,150000000,2010,756,4.2,2.35,18000,'\'(-inf-141489591.767]\''
310,124,14000,979,22000,256695,34817,871,150000000,2006,10000,6.9,2.35,0,'\'(-inf-141489591.767]\''
339,131,776,256,17000,164238,18204,434,150000000,2013,551,6.4,2.35,33000,'\'(-inf-141489591.767]\''
132,88,25,433,921,17590,2652,112,150000000,2011,562,5.4,2.35,0,'\'(-inf-141489591.767]\''
135,85,42,586,20000,85086,35161,122,149000000,2006,14000,6.7,1.85,0,'\'(-inf-141489591.767]\''
256,111,456,394,20000,39956,21393,186,150000000,2015,548,5.8,2.35,24000,'\'(-inf-141489591.767]\''
196,92,50,517,3000,47900,5810,130,145000000,2014,1000,6.9,1.85,11000,'\'(-inf-141489591.767]\''
220,196,249,844,11000,381672,17944,1694,175000000,2004,5000,7.2,2.35,0,'\'(-inf-141489591.767]\''
211,93,35,436,851,119213,2444,154,145000000,2012,770,6.9,1.85,17000,'\'(-inf-141489591.767]\''
264,133,93,746,769,169914,2538,1185,142000000,2002,766,6.1,2.35,0,'\'(-inf-141489591.767]\''
464,116,176,322,783,69757,2097,1211,144000000,2016,370,5.5,2.35,62000,'\'(-inf-141489591.767]\''
167,153,0,537,13000,322395,26029,1171,140000000,1998,12000,6.6,2.35,11000,'\'(-inf-141489591.767]\''
208,88,188,826,10000,270207,14823,606,140000000,2002,3000,6.1,1.85,2000,'\'(-inf-141489591.767]\''
287,115,0,964,18000,142440,31523,505,150000000,2007,12000,6.3,2.35,3000,'\'(-inf-141489591.767]\''
210,95,5,967,24000,64322,36095,145,145000000,2016,11000,7.2,2.35,24000,'\'(-inf-141489591.767]\''
432,133,663,690,10000,365104,21768,512,145000000,2011,10000,7.4,2.35,35000,'\'(-inf-141489591.767]\''
256,97,52,161,20000,123553,20645,174,145000000,2012,315,7.3,1.85,25000,'\'(-inf-141489591.767]\''
135,90,23,233,957,110788,1997,258,100000000,2005,550,6.1,2.35,2000,'\'(-inf-141489591.767]\''
190,154,380,445,10000,317166,11945,928,140000000,2003,956,7.7,2.35,0,'\'(-inf-141489591.767]\''
314,150,0,748,23000,128682,26490,657,140000000,2014,893,6.1,2.35,51000,'\'(-inf-141489591.767]\''
518,127,14000,981,26000,504419,39284,1559,150000000,2009,12000,8,2.35,19000,'\'(141489591.767-380253004.5]\''
291,121,0,4000,24000,544665,40484,2012,139000000,2002,11000,7.3,1.85,5000,'\'(141489591.767-380253004.5]\''
292,102,255,953,18000,221128,23378,343,145000000,2014,3000,7.9,2.35,46000,'\'(-inf-141489591.767]\''
184,126,295,284,18000,51892,19769,273,140000000,2016,934,5.5,2.35,24000,'\'(-inf-141489591.767]\''
145,121,357,653,820,45455,2705,388,135000000,2005,780,5,2.35,0,'\'(-inf-141489591.767]\''
451,215,0,413,986,392474,2530,1229,130000000,2009,745,7.7,2.35,18000,'\'(-inf-141489591.767]\''
141,127,503,91,5000,127497,6171,287,140000000,1998,808,6.6,2.35,0,'\'(-inf-141489591.767]\''
267,138,0,258,820,212106,1814,1445,137000000,2003,300,5.7,1.85,0,'\'(-inf-141489591.767]\''
351,122,209,934,17000,146352,31958,288,130000000,2013,12000,5.8,2.35,42000,'\'(-inf-141489591.767]\''
163,124,42,848,11000,77673,13073,463,130000000,2005,973,6,2.35,0,'\'(-inf-141489591.767]\''
166,106,6,422,12000,72259,15015,788,137000000,2001,2000,6.4,1.85,0,'\'(-inf-141489591.767]\''
510,124,394,2000,11000,508818,19761,679,140000000,2011,3000,6.9,2.35,46000,'\'(-inf-141489591.767]\''
197,128,150,244,766,157519,2037,683,135000000,1999,536,6.4,2.35,2000,'\'(-inf-141489591.767]\''
244,138,608,168,613,168207,1205,684,150000000,2003,172,7.4,2.35,0,'\'(-inf-141489591.767]\''
322,115,386,12000,21000,185394,59177,329,120000000,2012,17000,5.5,2.35,65000,'\'(141489591.767-380253004.5]\''
156,100,750,988,49000,32399,62644,79,135000000,2011,11000,5.9,2.35,0,'\'(-inf-141489591.767]\''
354,135,255,882,3000,326286,5811,643,150000000,2008,1000,6.8,2.35,0,'\'(-inf-141489591.767]\''
252,117,14000,358,535,12572,1950,106,140000000,2016,400,6.8,2.35,27000,'\'(-inf-141489591.767]\''
556,156,0,733,29000,406020,57108,1188,135000000,2015,27000,8.1,2.35,190000,'\'(-inf-141489591.767]\''
166,96,13,463,16000,62424,17416,90,135000000,2013,881,6.5,2.35,13000,'\'(-inf-141489591.767]\''
362,107,563,939,40000,183208,43291,337,135000000,2011,1000,7.2,2.35,26000,'\'(-inf-141489591.767]\''
153,92,35,179,19000,60230,19963,118,132000000,2014,411,6.7,1.85,11000,'\'(-inf-141489591.767]\''
329,115,521,883,13000,491077,17369,820,110000000,2007,897,8.1,2.35,0,'\'(-inf-141489591.767]\''
266,92,54,562,11000,307029,12754,360,130000000,2008,967,7.6,2.35,6000,'\'(-inf-141489591.767]\''
517,117,235,680,2000,313866,5730,549,130000000,2015,2000,7.4,1.85,61000,'\'(-inf-141489591.767]\''
502,146,508,523,34000,498397,49355,706,130000000,2013,14000,7.6,2.35,82000,'\'(141489591.767-380253004.5]\''
322,115,386,12000,21000,185394,59177,329,120000000,2012,17000,5.5,2.35,65000,'\'(141489591.767-380253004.5]\''
165,94,12,183,17000,70121,17883,214,135000000,2015,523,6.7,1.85,26000,'\'(-inf-141489591.767]\''
401,116,14000,807,10000,334345,12758,2741,132000000,2005,1000,6.5,1.85,0,'\'(-inf-141489591.767]\''
94,147,0,877,10000,178126,12954,511,130000000,2003,898,6.6,2.35,0,'\'(-inf-141489591.767]\''
246,90,50,397,4000,114287,5046,137,130000000,2011,442,6.7,2.35,16000,'\'(-inf-141489591.767]\''
330,101,176,282,11000,245621,12406,514,110000000,2010,702,6.4,2.35,23000,'\'(-inf-141489591.767]\''
434,138,0,8000,12000,200022,32355,1240,125000000,2014,9000,5.8,1.85,71000,'\'(-inf-141489591.767]\''
440,107,14000,845,2000,177383,4631,447,135000000,2011,871,7.4,2.35,44000,'\'(-inf-141489591.767]\''
274,142,0,10000,11000,382255,33284,1504,130000000,2004,10000,7.8,2.35,11000,'\'(-inf-141489591.767]\''
245,165,1000,165,309,102338,921,450,130000000,2008,284,6.6,2.35,0,'\'(-inf-141489591.767]\''
349,100,0,894,10000,158720,14168,744,130000000,2013,943,4.9,2.35,37000,'\'(-inf-141489591.767]\''
145,82,0,388,1000,38438,2945,241,127500000,2000,558,6.5,1.85,0,'\'(-inf-141489591.767]\''
154,98,189,1000,49000,67223,53587,126,127000000,2014,3000,6.2,1.85,11000,'\'(-inf-141489591.767]\''
233,95,96,8000,24000,172754,46120,187,130000000,2010,11000,7.3,2.35,13000,'\'(-inf-141489591.767]\''
258,159,0,645,11000,444683,13191,1571,125000000,2001,687,7.5,2.35,16000,'\'(141489591.767-380253004.5]\''
208,96,124,1000,16000,91640,31549,210,130000000,2013,12000,5.6,2.35,20000,'\'(-inf-141489591.767]\''
271,143,563,1000,40000,809474,48184,2113,140000000,2003,5000,8.1,2.35,10000,'\'(141489591.767-380253004.5]\''
403,123,508,14000,34000,305008,81385,591,125000000,2014,22000,6.7,2.35,52000,'\'(141489591.767-380253004.5]\''
294,174,2000,362,15000,314253,16008,1966,125000000,2006,574,6.6,2.35,0,'\'(-inf-141489591.767]\''
159,101,107,56,688,58498,1031,99,103000000,2014,237,6.4,2.35,0,'\'(-inf-141489591.767]\''
289,134,0,346,20000,405973,20952,1055,110000000,2003,505,7.5,2.35,0,'\'(-inf-141489591.767]\''
342,132,681,12000,23000,284792,55345,366,125000000,2011,14000,7.3,2.35,54000,'\'(-inf-141489591.767]\''
382,129,0,154,21000,338635,22403,412,125000000,2011,979,7.5,2.35,39000,'\'(-inf-141489591.767]\''
344,106,255,850,14000,229679,18003,637,125000000,2010,1000,5.8,2.35,15000,'\'(-inf-141489591.767]\''
196,113,719,217,605,240241,1441,391,65000000,1990,308,7.5,1.85,0,'\'(-inf-141489591.767]\''
85,102,323,241,845,101411,1815,546,85000000,1999,372,6.6,2.35,0,'\'(-inf-141489591.767]\''
436,135,209,602,10000,229823,12175,504,125000000,2012,826,6.7,2.35,31000,'\'(-inf-141489591.767]\''
183,125,541,409,920,189855,2699,1018,125000000,1997,890,3.7,1.85,0,'\'(-inf-141489591.767]\''
175,110,2000,636,1000,141414,4146,482,123000000,2000,722,6,1.85,0,'\'(141489591.767-380253004.5]\''
239,124,776,812,15000,333248,20553,1159,125000000,2004,2000,6.4,2.35,19000,'\'(-inf-141489591.767]\''
237,123,610,653,10000,242188,11930,1426,125000000,2000,794,6.1,2.35,0,'\'(-inf-141489591.767]\''
231,130,249,461,784,133076,2684,779,140000000,2000,638,6.4,2.35,0,'\'(-inf-141489591.767]\''
262,92,167,702,11000,213275,15302,436,130000000,2007,2000,5.6,2.35,0,'\'(-inf-141489591.767]\''
552,127,0,341,774,440084,2121,755,120000000,2012,358,8,1.85,122000,'\'(-inf-141489591.767]\''
276,123,160,402,12000,182661,14017,681,110000000,2007,701,5.2,2.35,0,'\'(-inf-141489591.767]\''
267,123,521,265,13000,40123,13752,297,120000000,2016,365,7.1,2.35,31000,'\'(-inf-141489591.767]\''
102,107,368,1000,2000,100821,4046,554,120000000,2003,1000,4.8,2.35,0,'\'(-inf-141489591.767]\''
775,124,0,641,13000,456260,24098,2326,130000000,2012,9000,7,2.35,97000,'\'(-inf-141489591.767]\''
71,77,50,537,886,36471,2682,69,120000000,2002,799,5.4,1.85,459,'\'(-inf-141489591.767]\''
476,109,662,1000,13000,338087,17689,814,115000000,2013,2000,6.6,2.35,61000,'\'(-inf-141489591.767]\''
207,134,123,567,14000,183909,17159,666,105000000,2004,850,6.7,2.35,0,'\'(-inf-141489591.767]\''
492,117,294,1000,10000,182899,14161,630,100000000,2014,2000,6.2,2.35,60000,'\'(-inf-141489591.767]\''
284,135,0,87,690,57873,902,414,120000000,2008,107,6.1,2.35,0,'\'(-inf-141489591.767]\''
168,121,274,157,273,35066,993,196,120000000,2010,216,5.3,1.85,0,'\'(-inf-141489591.767]\''
283,117,446,877,10000,148280,12731,348,117000000,2010,973,6.3,2.35,11000,'\'(-inf-141489591.767]\''
539,124,364,1000,11000,387436,22004,892,120000000,2013,10000,7,2.35,71000,'\'(-inf-141489591.767]\''
359,140,0,4000,20000,520104,44042,3286,113000000,2005,16000,7.6,2.35,10000,'\'(141489591.767-380253004.5]\''
284,142,0,4000,20000,464310,42990,3516,115000000,2002,16000,6.7,1.78,0,'\'(141489591.767-380253004.5]\''
